output_id,output
00576224_0,|323232|787878|232323|878787|323232|787878| |383838|787878|838383|878787|383838|787878| |323232|787878|838383|878787|323232|787878|
009d5c81_0,|0|
00dbd492_0,|00000000000222220000|02222222220288820000|02333333320282820000|02333333320288820000|02333333320222220000|02333233320000000000|02333333320000000000|02333333320002222200|02333333320002888200|02222222220002828200|00000000000002888200|00000000000002222200|00000222222200000000|00000244444200000000|00000244444200000000|00000244244200000000|00000244444200000000|00000244444200000000|00000222222200000000|00000000000000000000| |44400000004222224444|42222222224288824344|42333333324282824434|42333333324288824344|42333333324222224434|42333233324344444344|42333333324344444444|42333333324342222244|42333333324342888244|42222222224342828244|44434444444342888244|43433444444342222244|44333222222243444444|43333244444233433344|33333244444243443434|43333244244243434344|44333244444244443434|43433244444240444344|44434222222240044434|44434444444440004444| |00000000004222220000|02222222224288820000|02333333324282820000|02333333324288820000|02333333324222220000|02333233324000000000|02333333324000000000|02333333324002222200|02333333324002888200|02222222224002828200|00000000004002888200|00000000004002222200|00000222222200000000|00000244444200000000|00000244444200000000|00000244244200000000|00000244444200000000|00000244444200000000|00000222222200000000|00000000000000000000|
03560426_0,|0|
05a7bcf2_0,|0|
0607ce86_0,|0|
0692e18c_0,|0|
070dd51e_0,|0|
08573cc6_0,|0|
0934a4d8_0,|0|
09c534e7_0,|0|
0a1d4ef5_0,|0|
0a2355a6_0,|0|
0b17323b_0,|0|
0bb8deee_0,|0|
0becf7df_0,|0|
0c786b71_0,|0|
0c9aba6e_0,|0|
0d87d2a6_0,|0|
0e671a1a_0,|0|
0f63c0b9_0,|0|
103eff5b_0,|0|
11e1fe23_0,|0|
12422b43_0,|0|
12997ef3_0,|0|
12997ef3_1,|0|
12eac192_0,|0|
136b0064_0,|0|
13713586_0,|0|
137f0df0_0,|0|
140c817e_0,|0|
14754a24_0,|0|
15113be4_0,|0|
15663ba9_0,|0|
15696249_0,|0|
16b78196_0,|0|
17b80ad2_0,|0|
17cae0c1_0,|0|
18419cfa_0,|0|
184a9768_0,|0|
195ba7dc_0,|0|
1990f7a8_0,|0|
19bb5feb_0,|0|
1a2e2828_0,|0|
1a6449f1_0,|0|
1acc24af_0,|0|
1c02dbbe_0,|0|
1c0d0a4b_0,|0|
1c56ad9f_0,|0|
1d0a4b61_0,|0|
1d398264_0,|0|
1d398264_1,|0|
1da012fc_0,|0|
1e81d6f9_0,|0|
1e97544e_0,|0|
2037f2c7_0,|0|
2072aba6_0,|0|
20818e16_0,|0|
20981f0e_0,|0|
212895b5_0,|0|
21f83797_0,|0|
22a4bbc2_0,|0|
25094a63_0,|0|
2546ccf6_0,|0|
256b0a75_0,|0|
2685904e_0,|0|
2697da3f_0,|0|
2753e76c_0,|0|
27a77e38_0,|0|
27f8ce4f_0,|0|
281123b4_0,|0|
292dd178_0,|0|
29700607_0,|0|
2a5f8217_0,|0|
2b01abd0_0,|0|
2c0b0aff_0,|0|
2c737e39_0,|0|
2f0c5170_0,|0|
310f3251_0,|0|
3194b014_0,|0|
319f2597_0,|0|
31adaf00_0,|0|
31d5ba1a_0,|0|
31d5ba1a_1,|0|
32e9702f_0,|0|
332efdb3_0,|0|
3391f8c0_0,|0|
33b52de3_0,|0|
3490cc26_0,|0|
34b99a2b_0,|0|
351d6448_0,|0|
358ba94e_0,|0|
37d3e8b2_0,|0|
3979b1a8_0,|0|
3a301edc_0,|0|
3b4c2228_0,|0|
3b4c2228_1,|0|
3d31c5b3_0,|0|
3ed85e70_0,|0|
3ee1011a_0,|0|
3f23242b_0,|0|
40f6cd08_0,|0|
414297c0_0,|0|
423a55dc_0,|0|
