output_id,output
00576224_0,|323232|787878|232323|878787|323232|787878| |323232|787878|878787|838888|323232|787878| |333333|999999|444444|999999|444444|777777|
009d5c81_0,|00000000000000|00000222222222|00000200020202|00000202020002|00000222222222|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000| |00000000000000|00000222222222|00000200020202|00000202020002|00000222222222|00000000000000|00000000000000|00000000000000|00000033300000|00000030000000|00000000000000|00000000000000|00000000000000|00000000000000| |0|
00dbd492_0,|00000000000222220000|02222222220288820000|02333333320282820000|02333333320288820000|02333333320222220000|02333233320000000000|02333333320000000000|02333333320002222200|02333333320002888200|02222222220002828200|00000000000002888200|00000000000002222200|00000222222200000000|00000244444200000000|00000244444200000000|00000244244200000000|00000244444200000000|00000244444200000000|00000222222200000000|00000000000000000000| |00000000000222220000|04222422240288820000|04333333340282820000|04333333340288820000|04333333340224220000|04333233340000000000|04333333340000000000|04333333340002222200|04333333340002888200|02222222240002828200|00000000000002888200|00000000000002222200|00000222222200000000|00000244444200000000|00000244444200000000|00000244244200000000|00000244444200000000|00000244444200000000|00000222222200000000|00000000000000000000| |00000000000222220000|04424424420288820000|04333333340282820000|04333333340288820000|04333333340422220000|04333233340000000000|04333333340000000000|04333333340002242200|04333333340002888200|04222222220002828200|00000000000002888200|00000000000002222200|00000422222200000000|00000244444200000000|00000244444200000000|00000244244200000000|00000244444200000000|00000244444200000000|00000222222200000000|00000000000000000000|
03560426_0,|0088000000|0088000000|0787000000|0377000000|0306000000|0007300000|0007000000|8008000000|0000000000|0000000000| |0088000000|0088000000|0787000000|0077000000|0006000000|0007300000|0707000000|8008000000|0000000000|0000000000| |7088000000|7088000000|7688000000|7638000000|0068000000|0008600000|0000000000|8608000000|0000000000|0000000000|
05a7bcf2_0,|000000000020000000080000888008|000000000022200000082222233000|000000000022200000082222833000|000000000022200000082222833300|000000000022200000082222008228|000000000022200000082222208220|000000000022222000080000048200|000000000022222000080000048200|000000000022222000080000048200|000000000022222000080000048200|000000000022222000080000334000|000000000022222000080000334000|000000000022222000080000334000|000000000022220000080000334080|000000000022220000080000340088|000000000022220000080000340008|000000000022220000080000888000|000000000022220000080000888000|000000000022220000080000888000|000000000022220000080000848000|000000000022220000080000340088|000000000022222000080000340000|000000000022222000080000340088|000000000022222000080000340000|000000000022222000080000848000|000000000022222000080000844000|000000000022222000080000484003|000000000022222000080000034000|000000000022222000080000000008|000000000022222000080000400008| |000000000020000000088888888888|000000000022244444488888833000|000000000022444444488888833000|000000000022444444488888833300|000000000022244444488888800888|000000000022044444488888800888|000000000022222444488888800888|000000000022224444488888800888|000000000020000000088888800888|000000000080000000088888800888|000000000022284444488888334000|000000000022004444488888334022|000000000020000000088888334022|000000000022204444488888334000|000000000022284444488888340200|000000000022004444488888340800|000000000020000000088888220888|000000000022004444488888220888|000000000020000000088888220888|000000000022004444488888220888|000000000022804444488888340020|000000000022282444488888340000|000000000022000444488888340000|000000000022800444488888340000|000000000022288444488888000888|000000000022000444488888000888|000000000022000444488888028883|000000000022200444488888038004|000000000022200444488888028888|000000000020000000088888000888| |000000000020000000080000800008|000000000022200000288888033000|000000000022200002288888833000|000000000022000022280008833300|000000000022200222282200088228|000000000022202222282000088220|000000000022822222280000088008|000000000022822222280000088224|000000000022002220080000088204|000000000022002222080000088004|000000000082822222288000330004|000000000082222222288888330444|000000000022000002288888330444|000000000022822222280888330400|000000000022882222288888300800|000000000022222222288888300800|000000000022000020080000288200|000000000022222222280000228000|000000000020000000280022228080|000000000022222222280222228080|000000000022822222282222300020|000000000022882222280008300000|000000000022222222280088300000|000000000022822222280888300000|000000000022882222280000888000|000000000022222222280002888028|000000000022222222288800888003|000000000022822222288000832008|000000000022822222280000882000|000000000022000000080000888200|
0607ce86_0,|0000000000000000800000|0238320228220328320000|0028330028800338800000|0038330028880888080000|0888380888880882880000|0888800888880888880000|0000000000000000000000|0000000000000000800000|0228220222230228330000|0228800028230028330000|0888880028830028380000|0888880888830888280000|0888280828880888880000|0000000000000000000000|0000000000000000000000|0228220228220228220000|0328320028320028800000|0388880038380038080000|0388880888380882880000|0888880883880288880000|0000000000000000000000|0000000000000000000000|0000000000000000000000|0000000000000000000000| |0000000000000000000000|0222320222220322220000|0332330338000338000000|0333330338000332000000|8883330888880888880000|0888800888880888880000|0000000000000000000000|0000000000000000000000|0288220228230222220000|0338000338330338330000|0338000338330338330000|0888888888830888380000|0888380888880888880000|0000000000000000000000|0000000000000000000000|0228220223220228220000|0332330332330332000000|0333330333330333000000|0388880033330888880000|0888880002000888880000|0000000000000000000000|0000000000000000000000|0000000000000000000000|0000000000000000000000| |0038000000000000000000|0628300622220328220000|0338330333330338330000|0332330338330338330000|0888380888880280880000|0288880886880288880000|0000000000000000000000|0000000000000000000000|0238220623830622220000|0333330338330333330000|0338330338330338330000|0888880888830888380000|0286380888830288880000|0000000000000000030000|0000000000000000000000|0628220628220628220000|0338330338330338330000|0333330332320338330000|0388880888380880880000|0888880283880888880000|0000000000000000000000|0000000000000000000000|0000000000000000000000|0000000000000000000000|
0692e18c_0,|000000330|000000003|000000303|330330000|003003000|303303000|000330000|000003000|000303000| |000000440|000000004|000000404|440440000|004004000|404404000|000440000|000004000|000404000| |000000330|000000333|000000033|003003000|330303000|330303000|000003000|000330000|000303000|
070dd51e_0,|00000000000000000000|00030000000000000000|00030000050000000000|02232222252222222000|00030000050000000000|00030000050000000000|00030000050000000000|00030007757777000000|00030000050000000000|00030000050000000000|00030000000000000000|00030000000000000000|00030000000000000000|00030000000000000000|00030000888888800000|00030000000000000000|00030000000000000000|00030000000000000000|00030000000000000000|00000000000000000000| |00000000000000000000|00000000000000000000|00030000050000000000|02232222252222222000|00030000050000000000|00030000050000000000|00030000050000000000|00030007757777000000|00030000050000000000|00030000050000000000|00030000000000000000|00030000000000000000|00030000000000000000|00030000000000000000|00030000888888800000|00030000000000000000|00030000000000000000|00030000000000000000|00030000000000000000|00000000000000000000| |00000000000000000000|00030000000000000000|00030000050000000000|02232222202222222000|00030000000000000000|00030000000000000000|00030000000000000000|00030007202227000000|00030000000000000000|00030000050000000000|00030000000000000000|00030000000000000000|00030000000000000000|00030000000000000000|00030000888888800000|00030000000000000000|00030000000000000000|00030000000000000000|00030000000000000000|00000000000000000000|
08573cc6_0,|0000000000000|0000000000000|8881550553300|8888150553300|0351835313300|0000661030000|0880000083300|0555850553300|0886000008300|0880306006300|0350056555500|0855550555500|0555556555500| |0000000000000|0000000000000|2625555853500|0000000000600|0658255850600|0500500030300|0655502000600|0850652500600|0506601000600|0865651500600|0505551000500|2005051505000|0505551505500| |0000000000000|0000000000000|2222220228200|2222220282200|0222222221100|0000221080000|0801002001100|0000200201100|0810000001100|0881101201100|0200002001100|0822220222200|2222222222200|
0934a4d8_0,|0| |0| |0|
