output_id,output
00576224_0,|323232|787878|232323|878787|323232|787878| 
009d5c81_0,|00000000000000|00000777777777|00000700070707|00000707070007|00000777777777|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000| |00000000000000|00000333333333|00000300030303|00000303030003|00000333333333|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000| |00000000000000|00000277223277|00000700020707|00000702070007|00000227772777|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000| 
00dbd492_0,|00333333330222220000|02222222228288820000|02333333328282820000|02330300328288820000|02303330023222220000|02333230023033333000|02330330020033333300|02333333320302222200|02333333320332888200|02222222220002828200|00333333333002888200|00333333333332222200|00000222222233333300|00000233333203333000|00000233333200000000|00000243230200000000|00000233333200000000|00000233333200000000|00000222222200000000|00000000000000000000| 
03560426_0,|0000000000|0000000000|0000000000|0000000000|0000000080|0000000000|0000000000|0000000000|0000000000|0000000000| 
05a7bcf2_0,|000000000020000000080000000000|828888888888888888884484433000|028888888888888888884484433008|028888888888888888884484433300|000000000022200000080000000000|000000000022000000080000000000|000000000022222000080000000000|000000000022220000080000000000|000000000020000000080000000000|000000000020000000080000000000|222888888888888888884444330000|022888888888888888884444330000|022888888888888888884444330000|022888888888888888884444330000|222888888888888888884444300000|028888888888888888884444300000|000000000020000000080000000000|000000000022000000080000000000|000000000020000000080000000000|000000000022000000080000000000|002888888888888888884444300000|008888888888888888884444300000|022888888888888888884444300000|022888888888888888884444300000|000000000022220000080000000000|000000000022000000080000000000|022888888888888888884444400003|022888888888888888884444430000|000000000022200000080000000000|000000000020000000080000000000| 
0607ce86_0,|0000000000000000000000|0188880188810188810000|0388880388880388880000|0888880888880888880000|0883880888880883880000|0888880888880888880000|0000000000000000000000|0000000000000000000000|0888810123230188880000|0388880388880388880000|0888880888880888880000|0888880888880888880000|0888880888880888880000|0000000000000000000000|0000000000000000000000|0288820288820288820000|0388880888880888880000|0333330888880888880000|0888880883880883880000|0888880883880888880000|0000000000000000000000|0000000000000000000000|0000000000000000000000|0000000000000000000000| 
0692e18c_0,|000000330|000000003|000000303|330330000|003003000|303303000|000330000|000003000|000303000| 
070dd51e_0,|00000000000000000000|00030000000000000000|00000000050000000000|02000000000000002000|00000000000000000000|00000000000000000000|00000000000000000000|00000007000002050000|00000000000000000000|00000000550000000000|00000000000000000000|00000000000000000000|00000000000000000000|00000000000000000000|00000055800005800000|00000000000000000000|00000000000000000000|00000000000000000000|00030000000000000000|00000000000000000000| 
08573cc6_0,|0000000000000|0000000000000|0550555555500|0550555505500|0000000000000|0550031505000|0000000000000|0550555500000|0000000000000|0000055505000|0000055505000|0000000005000|0555555555000| 
0934a4d8_0,|123|456|789|
09c534e7_0,|000000000000000000000000000000|000000001111100000000001111110|001111001343100111111001222210|001331111333111133331111333310|001331001333100122331001233310|001111001333100111111001333310|000000001111100000100001111110|000000000010000011110000001000|000011110111000012210000111100|000012211121000011110000122100|000011110131000000000000123100|000001000111000000000000111100|000011100000000000000000000000|000012100000000111110000000000|000011100000000142310111100000|000000000111000132211122100000|000000000121000132210111100000|000000000111000111110000000000|000000000010000010000000000000|000000000111111111111000000000|011101110132222222331000011110|013111210132222222221000013410|011101211132233222331000012210|000001110133333333331000012310|000000000133333333331000011110|000000000111111111111000000100|001111000000000000000000011110|001231001111000111100000013310|001221111221111133111111113310|001111001111000111100000011110| 
0a1d4ef5_0,|123|456|789|
0a2355a6_0,|00000000000000000|00444400000002220|00400400444002020|00444444404002220|00004040404002020|00004444444002020|00000000000022220|00000000000020020|00000000000022220|00111111000000000|00100001000000000|00100001003333333|00111111003003003|00000000003003003|00000000003333333| |00000000000000000|00444400000004440|00400400244004040|00444442202002440|00002020202002040|00002222222002040|00000000000022230|00000000000030030|00000000000022220|00222222000000000|00300002000000000|00200004004244444|00444444004004004|00000000004004004|00000000004444444| 
0b17323b_0,|100000000000000|000000000000000|000000000000000|000100000000000|000000000000000|000000000000000|000000100000000|000000000000000|000000000000000|000000000000000|000000000000000|000000000000000|000000000000000|000000000000000|000000000000000| 
0bb8deee_0,|123|456|789|
0becf7df_0,|8900000000|2200044000|0002224000|0008224000|0008980000|0008890000|0008990000|0009990000|0000090000|0000000000| 
0c786b71_0,|58555585|88777788|87588578|87588578|88777788|58555585| |877778|758857|758857|877778| 
0c9aba6e_0,|123|456|789|
0d87d2a6_0,|0000010002220000000000000|0000010001210000000222200|0000010001110000000211100|0000111002220111110121200|1111211110001111111122211|0000211000000111110000000|0000010000000111110000220|0000010000000211220000220|0000010000000000000000220|0000010001100000000000000|0111110001200000000000000|1111111111111111111111111|0111110000000000000000000|0221210000000000000000000|0000010000000000000000000|0000010000000000000000000|0000012111111200000002220|0000011111111100000002220|0000011111111100022002220|0000011111111100022000000|0000011111111100000000000|0000010000000000000000000|0000010000000000000000000| 
0e671a1a_0,|0000000000000|0000000000000|0000555505400|0000000000500|0000000000500|0250055555000|0000000000000|0000000500000|0000000500000|0000000500000|0000000500000|0000000300000|0000000000000| 
0f63c0b9_0,|338888888888883|600000000000006|688888366666636|800000000000008|222222222222222|200000000000002|200000000000002|200000000000002|200000000000002|939339999939339|300000000000008|800000000000003|886888833333883|800000000000008|998883838838883| 
103eff5b_0,|00000000000000000000000000|00000000000000000000000000|00000000000000000000000000|00444400000000000000000000|00444400000000000000000000|00444400000000000000000000|00333300000000000000003000|00000033333333000000003200|00000033333333000000030200|00000033333333000000000000|00000044442244000000000000|00444444440000000000000000|00444433440000000000000000|00222222440000000000000000|00444444440000000000000000|00000000000000000000000000| 
11e1fe23_0,|00000000000000|00000000000000|00030000000800|00000000000000|00000085000000|00000000000000|00000005500000|00000006600000|00000000000000|00000000000000|00080000000000|00000000000000| 
12422b43_0,|5044400|5008000|5006000|0002000|0088000|0008000|0084000|0004000|0008000|0088400| 
12997ef3_0,|123|456|789|
12997ef3_1,|123|456|789|
12eac192_0,|03035503|13000110|07700003|31030300|03055503|03003003|30300037|00110303| 
136b0064_0,|123|456|789|
13713586_0,|555555555555555555|848344444444303430|838384443444303330|883308843334808080|866606604446608000|888886644444808880|866480044444808880|844486644444008880|864686644444808880|866086644444000000|866886644444808880|088880043336000000|888880646644000000|088880044444808880|088843344444808880|003333333330803080|000004443334808080|000008803308808880|000000003000800880| 
137f0df0_0,|0001100100|0552255255|0552255255|1222222222|0552255255|0552255255|1222222222|0552255255|0552255255|0001000100| 
140c817e_0,|38181881888831|88181831388881|11111112111111|88181831388881|83131881888881|11211111111111|83131881888881|88181881888881|88181881888881|88181881888881|88131381888881|11112111111111|38131381888831|11111111111112| 
