output_id,output
0c9aba6e_0,|0080|0008|0880|0000|0800|8800| |0080|0008|0000|0000|0800|8800| |0080|0008|0000|0008|0800|8800|
2b01abd0_0,|0000000010000000|0000000010000000|0000000010000000|0000000010200000|0002222010800800|0000000010200200|0022200010008880|0000000010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000| |0000000010000000|0000080010000000|0000080010000000|0000880010080000|0082220010880000|0800220010080000|0820020010222020|0000020010000000|0000080010000000|0000080010000000|0000080010000000|0000080010000000|0000080010000000|0000000000000000| |0000000010000000|0000000010000000|0000000010000000|0008008010200000|0002222010808800|0002002010200200|0022200010008880|0000000010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000|0000000010000000|
25094a63_0,|683338183881631231113122682386|166881336388211368831218238882|883631683863128182132444111836|131281822213183631131444441263|812386888888888813811144418368|613186844444444811316111116283|333383844444444813116288888813|331321444444444444432632188828|183283844444444868882831336131|812316844444444838661383328881|331128888444444438181862811163|611216832281638263213361286222|132812881322223338321166383316|812631328133818366831813323363|881328112121811333888333186113|683281311311838833363331363286|381182332816166863183888116331|881236331883368181223838826861|318233633631131181318281121338|888128831133336333333138288128|683812838318331344443828883311|816312881138238344443383833131|212218631388822344443881311326|113663228263862344443311338333|136183213313838344443383833812|883882222886833343333221618686|331118833328233333688228112188|663336338888136833811161262638|128321333313866181621633383818|862638288311611218121318363338| |683338183881631231113122682386|166881336388211368831218238882|883631683863128182132444441836|131281822213183631131444441263|812386444444444413811444448368|613186444444444411316444446283|333383444444444413116288888813|331321444444444481132632188828|183283444444444468882831336131|812316444444444438661383328881|331128444444444438181862811163|611216832281638263213361286222|132812881322223338321166383316|812631328133818366831813323363|881328112121811333888333186113|683281311311838833363331363286|381182332816166863183888116331|881236331883368181223838826861|318233633631131181318281121338|888128831133336444444138288128|683812838318331444444828883311|816312881138238444444383833131|212218631388822444444881311326|113663228263862444444311338333|136183213313838444444383833812|883882222886833444444221618686|331118833328233444688228112188|663336338888136833811161262638|128321333313866181621633383818|862638288311611218121318363338| |683338183881631231113122682386|166881336388211368831218238882|883631683863128182132444111836|131281822213183631131444441263|812386888888888813811144448368|613186844444444811316114446283|333383844444444413116288888813|331321444444444444432632188828|183283844444444468882831336131|812316844444444438661383328881|331128884444444438181862811163|611216832241634263213361286222|132812881322223338321166383316|812631328133818366831813323363|881328112121811333888333186113|683281311311838833363331363286|381182332816166863183888116331|881236331883368181223838826861|318233633631131181318281121338|888128831133336333333138288128|683812838318331344443828883311|816312881138238344444383833131|212218631388822344444881311326|113663228263862344444411338333|136183213313838344444483833812|883882222886833344444221618686|331118833328233334688228112188|663336338888136833811161262638|128321333313866181621633383818|862638288311611218121318363338|
140c817e_0,|88181881888881|88181831388881|11111112111111|88181831388881|83131881888881|11211111111111|83131881888881|88181881888881|88181881888881|88181881888881|88131381888881|11112111111111|88131381888831|11111111111112| |88181881888881|88181831388881|11111112111111|88181831388881|83131881888881|11211111111111|83131881888881|88181881888881|88181881888881|88181881888881|88131381888881|11112111111111|88131381888831|11111111111111| |88181881888881|88181831388881|11111112111111|88181831388881|83131881888881|11211111111111|83131881888881|88181881888881|88181881888881|88181881888881|88131381888881|11112111111111|88131381888831|11111111111118|
2697da3f_0,|000004444400000|000004444400000|000004444400000|000004444400000|000004444400000|444440444444444|444444044444444|444444404444444|444444440444444|444444444044444|000004444400000|000004444400000|000004444400000|000004444400000|000004444400000| |000004000400000|000004044400000|000004444400000|000004444400000|000004444400000|444440440444444|444444000444444|040444000444040|044444000444044|444444444044444|000004444400000|000004444400000|000004444400000|000004444400000|000004000400000| |000004404400000|000004444400000|000004444400000|000004444400000|000004444000000|444440440444444|444444000444444|044444000444444|444440000444040|444404444044400|000004444400000|000004444400000|000004444400000|000004444000000|000004400000000|
2f0c5170_0,|000000000|000000000|004404400|000424000|004444400|000000000|000000000| |000000000|000000000|004404000|000424000|004444000|000000000|000000000| |000000000|000000008|004404408|000424008|000000000|000000000|000000000|
1da012fc_0,|0000000000000000000000000|0004400003330000000000000|0044440040303000000000000|0004400000600000000000000|0000000000000000000000000|0000000000000000000000000|0000000000000000000000000|0000004440000000000000000|0000044046000000000000000|0000004440000000555555550|0000000000000000535554550|0000000000000000555555550|0000000000000000555555550|0006000000600800555855550|0066600006661110555555550|0006000000011000555555550|0000000000000000515556550|0000000000000000555555550|0000000000000000555555550| |0000000000000000000000000|0003300003330000000000000|0033330030303000000000000|0003300000300000000000000|0000000000000000000000000|0000000000000000000000000|0000000000000000000000000|0000003330000000000000000|0000033033000000000000000|0000003330000000555555550|0000000000000000535554550|0000000000000000555555550|0000000000000000555555550|0003000000300300555855550|0011300003333330555555550|0001000000033000555555550|0000000000000000515556550|0000000000000000555555550|0000000000000000555555550| |0000000000000000000000000|0006600006660000000000000|0066660060606000000000000|0006600000600000000000000|0000000000000000000000000|0000000000000000000000000|0000000000000000000000000|0000006660000000000000000|0000066063000000000000000|0000003660000000555555550|0000000000000000535554550|0000000000000000555555550|0000000000000000555555550|0004000000600600555855550|0034400004666660555555550|0003000000066000555555550|0000000000000000515556550|0000000000000000555555550|0000000000000000555555550|
29700607_0,|00048500000|00048500000|00048500000|00048500000|00048500000|00048500000|00044500000|44444400000|00004400000|00004555555|00004000000| |00048500000|00040500000|00040500000|00040500000|00040500000|00040500000|00040500000|44440000000|00000000000|00000000000|00000000000| |04048500000|00040500000|00040500000|00040500000|00040500000|00040500000|00040500000|44440400000|00000400000|00000555555|00000000000|
20981f0e_0,|0000000000000|0000000000000|0000000000000|0000110001000|0000100001100|0001000000000|0020000200000|0000000000000|0000000000000|0000110000000|0000000000000|0020000200002|0000000000000|0000110001000|0000010000000|0000000000000|0020000200002| |0000000000000|0000000200002|0000000000000|0000110001100|0000120001100|0000000000000|0000000200001|0000000000000|0000110002100|0000110001200|0000000000000|0020000200002|0000000000000|0000110001000|0000010000000|0000000000000|0020000200002| |0000000000000|0000000000001|0100001000000|2000000000000|2000200001200|0101001000000|0000000100001|0101001000010|2000210000200|2000210000200|0101001000010|0000000100001|0101001000010|0000110001000|2000210000200|0101001000010|0000000100001|
20818e16_0,|6683222222|8883222222|3333222222|3333222222|2222222222|2222222222| |6688888222|6688888222|8888888222|8888888222|2222222222|2222222222| |6688882222|6688882222|8888882222|8888882222|2222222222|2222222222|
12422b43_0,|5044400|5008000|5006000|0022000|0044400|0008000|0000000|0008400|0044400|0028000| |5044400|5008000|5006000|0022000|0044000|0008000|0006000|0022000|0044400|0008000| |5044400|5008000|5006000|0022000|0044400|0008000|0006000|0022000|0044400|0008000|
3b4c2228_0,|100|000|000| |100|010|000| |100|100|000|
3b4c2228_1,|100|000|001| |100|010|000| |100|010|001|
