output_id,output
00576224_0,
009d5c81_0,
00dbd492_0,
03560426_0,
05a7bcf2_0,
0607ce86_0,
0692e18c_0,
070dd51e_0,
08573cc6_0,
0934a4d8_0,
09c534e7_0,
0a1d4ef5_0,
0a2355a6_0,
0b17323b_0,
0bb8deee_0,
0becf7df_0,
0c786b71_0,
0c9aba6e_0,
0d87d2a6_0,
0e671a1a_0,
0f63c0b9_0,
103eff5b_0,
11e1fe23_0,
12422b43_0,
12997ef3_0,
12997ef3_1,
12eac192_0,
136b0064_0,
13713586_0,
137f0df0_0,
140c817e_0,
14754a24_0,
15113be4_0,
15663ba9_0,
15696249_0,
16b78196_0,
17b80ad2_0,
17cae0c1_0,
18419cfa_0,
184a9768_0,
195ba7dc_0,
1990f7a8_0,
19bb5feb_0,
1a2e2828_0,|7| |6| |0|0|
1a6449f1_0,|0000035400|0900000067|8000000000|0390006700|0000100001|0100080040|0006000302|0000050010|7000000081|0000040200| |001005|009000|070060|000056|090000|002020| |054|400|901|200|801|500|000|800|000|006|500|800|
1acc24af_0,
1c02dbbe_0,
1c0d0a4b_0,
1c56ad9f_0,
1d0a4b61_0,
1d398264_0,
1d398264_1,
1da012fc_0,
1e81d6f9_0,
1e97544e_0,
2037f2c7_0,
2072aba6_0,
20818e16_0,
20981f0e_0,
212895b5_0,
21f83797_0,
22a4bbc2_0,
25094a63_0,
2546ccf6_0,
256b0a75_0,
2685904e_0,
2697da3f_0,
2753e76c_0,
27a77e38_0,
27f8ce4f_0,
281123b4_0,
292dd178_0,
29700607_0,
2a5f8217_0,
2b01abd0_0,
2c0b0aff_0,|8838883838|8333888333|8838888838|8388838388|8888333883|3388838888|8888888838|3883888388| |3388388838|8883338883|3888388888|8388888388|3338883338|8383888388|8833388888|8883888383| |3888883888|8838833388|8333883838|8838888333|8888388838|8383338888|3338388883|8388888388|
2c737e39_0,
2f0c5170_0,
310f3251_0,
3194b014_0,|555|555|555| |555|555|555|555| |55|55|55|55|
319f2597_0,
31adaf00_0,
31d5ba1a_0,
31d5ba1a_1,
32e9702f_0,
332efdb3_0,
3391f8c0_0,
33b52de3_0,
3490cc26_0,
34b99a2b_0,
351d6448_0,
358ba94e_0,|11111|10101|11111|10101|11111| |11111|11101|11111|10111|11111| |11111|10101|11111|11111|11111|
37d3e8b2_0,
3979b1a8_0,
3a301edc_0,
3b4c2228_0,
3b4c2228_1,
3d31c5b3_0,
3ed85e70_0,
3ee1011a_0,
3f23242b_0,
40f6cd08_0,
414297c0_0,
423a55dc_0,
